pollster,fieldwork_end,labour,conservative,reform,libdem,green,leader_net,source_url
More in Common,2025-05-26,22.0,19.0,31.0,14.0,8.0,-38,https://www.moreincommon.org.uk/media/1xxnonjy/votingintention26may.xlsx
YouGov,2025-05-27,21.0,19.0,29.0,15.0,11.0,,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_Results_250527_w.pdf
Find Out Now,2025-05-28,22.0,16.0,32.0,13.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/05/28th-May-VI-Find-Out-Now.xlsx
BMG Research,2025-05-29,24.0,18.0,31.0,13.0,9.0,-31,https://bmgresearch.com/wp-content/uploads/2025/06/312024_w39_ce_weightedfinaltables_v1_i-only_website-upload.xlsx
Techne,2025-05-29,22.0,16.0,31.0,16.0,9.0,,https://www.techneuk.com/wp-content/uploads/2025/05/R154-UK-2025-5-30-DATA.pdf
Opinium,2025-05-30,25.0,17.0,31.0,11.0,10.0,-36,https://www.opinium.com/wp-content/uploads/2025/05/VI-2025-05-28-Observer-Tables.xlsx
YouGov,2025-05-30,,,,,,-40,https://yougov.co.uk/politics/articles/52284-seven-months-in-what-do-britons-think-of-kemi-badenochs-leadership-and-would-another-leader-be-doing-better
YouGov,2025-06-02,22.0,18.0,28.0,17.0,9.0,-40,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250602_w.pdf
More in Common,2025-06-02,23.0,21.0,28.0,14.0,8.0,-36,https://www.moreincommon.org.uk/media/ihubhswb/votingintention2june.xlsx
Survation,2025-06-02,24.0,20.0,27.0,13.0,8.0,-14,https://files.survation.com/s/ioFTPDAcO9wtBdm/download
Lord Ashcroft Polls,2025-06-02,23.0,18.0,27.0,13.0,13.0,,https://lordashcroftpolls.com/2025/06/we-can-sniff-starmers-fear-of-farage-say-voters-as-they-back-winter-fuel-u-turn-and-insist-two-child-benefit-cap-must-stay/
Find Out Now,2025-06-04,22.0,16.0,31.0,15.0,11.0,-43,https://cms.findoutnow.co.uk/app/uploads/2025/06/4th-June-VI-Find-Out-Now.xlsx
Ipsos,2025-06-04,25.0,15.0,34.0,11.0,9.0,-54,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-06/politmkp_w3mayjun2025web1.pdf
Techne,2025-06-05,23.0,17.0,31.0,15.0,8.0,,https://www.techneuk.com/wp-content/uploads/2025/06/R155-UK-2025-6-6-DATA.pdf
Freshwater Strategy,2025-06-08,21.0,21.0,32.0,14.0,8.0,-32,https://freshwaterstrategy.com/wp-content/uploads/Data-Tables-City-AM-Freshwater-Strategy-UK-Polling-090625-v2.xlsx
YouGov,2025-06-09,23.0,17.0,29.0,15.0,10.0,-42,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250609_w.pdf
More in Common,2025-06-09,24.0,20.0,28.0,14.0,7.0,-39,https://www.moreincommon.org.uk/media/0nbo0kxz/voting-intention-6-9-june.xlsx
Find Out Now,2025-06-11,24.0,16.0,30.0,13.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/06/11th-June-VI-Find-Out-Now.xlsx
Survation,2025-06-11,25.0,21.0,27.0,12.0,7.0,-21,https://cdn.survation.com/wp-content/uploads/2025/07/02155030/Rogan_Productions_Jun_25_Tables.xlsx
Opinium,2025-06-13,24.0,18.0,30.0,12.0,9.0,-34,https://www.opinium.com/wp-content/uploads/2025/06/Observer-VI-2025-06-11-Tables-0028.xlsx
YouGov,2025-06-16,24.0,17.0,27.0,15.0,10.0,-34,https://d3nkl3psvxxpe9.cloudfront.net/documents/VotingIntention_MRP_250616_w.pdf
More in Common,2025-06-16,21.0,22.0,29.0,13.0,9.0,-38,https://www.moreincommon.org.uk/media/m3rnj31m/voting-intention-16june.xlsx
Ipsos,2025-06-16,,,,,,-28,https://www.ipsos.com/en-uk/starmer-remains-ahead-farage-head-head-who-would-make-best-pm-majority-britons-unsure-what-he
Find Out Now/ Electoral Calculus (MRP),2025-06-17,22.0,19.0,31.0,13.0,9.0,,https://www.electoralcalculus.co.uk/blogs/ec_vipoll_20250625.html
YouGov,2025-06-17,,,,,,-37,https://yougov.co.uk/politics/articles/52435-a-year-after-the-2024-election-which-voters-have-abandoned-the-labour-party-and-why
Find Out Now,2025-06-18,23.0,16.0,31.0,12.0,11.0,,https://cms.findoutnow.co.uk/app/uploads/2025/06/18th-June-VI-Find-Out-Now.xlsx
